Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
130,Pablo,brBRA,DF,Internacional,18,2006,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
131,João Othavio Basso,brBRA,DF,Santos,28,1997,5.8,7,4,7,0,0,3,5,60.0,2,5,4,1,5,12,25,0,Matches
132,Luiz Otávio,brBRA,DF,Mirassol,32,1992,1.8,0,0,0,0,0,0,1,0.0,1,3,3,0,2,2,17,0,Matches
133,Leo Ortiz,brBRA,DF,Flamengo,29,1996,24.5,31,18,18,12,1,10,13,76.9,3,18,16,2,16,47,107,4,Matches
134,Lucas Oliveira,brBRA,DF,Vasco da Gama,28,1996,2.9,4,4,4,0,0,1,4,25.0,3,5,4,1,10,14,26,1,Matches
135,Nicolas,brBRA,DF,São Paulo,17,2007,0.5,2,2,1,1,0,2,2,100.0,0,1,1,0,2,4,0,0,Matches
136,Nicolas,brBRA,DF,Ceará,27,1997,6.6,14,7,2,11,1,4,8,50.0,4,4,0,4,8,22,15,0,Matches
137,Neris,brBRA,DF,Vitória,32,1992,5.9,5,2,3,2,0,1,3,33.3,2,3,2,1,6,11,34,0,Matches
138,Kaiky Naves,brBRA,DF,Palmeiras,22,2002,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
139,Nathan,brBRA,DF,Internacional,23,2001,1.0,4,0,2,1,1,1,2,50.0,1,1,0,1,0,4,1,0,Matches
140,Natanael,brBRA,DF,Atlético Mineiro,23,2002,23.8,54,33,25,25,4,23,42,54.8,19,28,9,19,22,76,61,0,Matches
141,Kauã Moraes,brBRA,DF,Cruzeiro,18,2006,2.2,3,3,1,2,0,3,11,27.3,8,2,2,0,1,4,7,0,Matches
142,Micael,brBRA,DF,Palmeiras,24,2000,14.4,27,17,13,13,1,10,14,71.4,4,10,6,4,9,36,90,1,Matches
143,Gabriel Mercado,arARG,DF,Internacional,37,1987,13.3,15,10,8,7,0,10,11,90.9,1,13,10,3,14,29,72,0,Matches
144,Ramon Menezes Roma,brBRA,DF,Sport Recife,29,1995,20.8,18,14,16,2,0,11,17,64.7,6,23,18,5,26,44,128,1,Matches
145,Nathan Mendes,brBRA,DF,RB Bragantino,22,2002,12.9,18,11,9,6,3,15,19,78.9,4,12,5,7,13,31,32,0,Matches
146,Mayke,brBRA,DF,Palmeiras,32,1992,2.3,5,4,2,1,2,3,5,60.0,2,3,1,2,0,5,5,0,Matches
147,Mayke,brBRA,DF,Santos,32,1992,9.1,17,12,7,9,1,9,12,75.0,3,13,4,9,9,26,26,0,Matches
148,Matheuzinho,brBRA,DF,Corinthians,24,2000,29.2,63,40,37,19,7,38,72,52.8,34,33,10,23,37,100,87,1,Matches
149,Gustavo Martins Santos,brBRA,DF,Grêmio,22,2002,14.7,26,18,19,6,1,15,24,62.5,9,25,12,13,11,37,94,0,Matches
150,Adriano Martins,brBRA,DF,Juventude,27,1997,4.0,5,3,3,1,1,3,3,100.0,0,4,3,1,6,11,27,0,Matches
151,Gustavo Marques,brBRA,DF,RB Bragantino,23,2001,10.0,20,12,16,3,1,10,16,62.5,6,17,10,7,14,34,63,0,Matches
152,Marlon,brBRA,DF,Grêmio,27,1997,30.7,71,47,55,15,1,51,89,57.3,38,31,11,20,36,107,120,1,Matches
153,Marlon,brBRA,DF,Cruzeiro,27,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
