"Jogador","Equipa","Equipa dentro de um período de tempo seleccionado","Posição","Idade","Valor de mercado","Contrato termina","Partidas jogadas","Minutos jogados:","Golos","Golos esperados","Assistências","Assistências esperadas","Duelos/90","Duelos ganhos, %","Naturalidade","País de nacionalidade","Pé","Altura","Peso","Emprestado","Ações defensivas com êxito/90","Duelos defensivos/90","Duelos defensivos ganhos, %","Duelos aérios/90...25","Duelos aéreos ganhos, %","Cortes/90","Cortes de carrinho ajust. à posse","Remates intercetados/90","Interseções/90","Interceções ajust. à posse","Faltas/90","Cartões amarelos","Cartões amarelos/90","Cartões vermelhos","Cartões vermelhos/90","Acções atacantes com sucesso/90","Golos/90","Golos sem ser por penálti","Golos sem ser por penálti/90","Golos esperados/90","Golos de cabeça","Golos de cabeça/90","Remate","Remates/90","Remates à baliza, %","Golos marcados, %","Assistências/90","Cruzamentos/90","Cruzamentos certos, %","Cruzamentos do flanco esquerdo/90","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos do flanco direito/90","Cruzamentos precisos do flanco direito, %","Cruzamentos para a área de baliza/90","Dribles/90","Dribles com sucesso, %","Duelos ofensivos/90","Duelos ofensivos ganhos, %","Toques na área/90","Corridas progressivas/90","Acelerações/90","Passes recebidos/90","Passes longos recebidos/90","Faltas sofridas/90","Passes/90","Passes certos, %","Passes para a frente/90","Passes para a frente certos, %","Passes para trás/90","Passes para trás certos, %","Passes laterais/90","Passes laterais certos, %","Passes curtos / médios /90","Passes curtos / médios precisos, %","Passes longos/90","Passes longos certos, %","Comprimento médio de passes, m","Comprimento médio de passes longos, m","Assistências esperadas/90","Assistências para remate/90","Segundas assistências/90","Terceiras assistências/90","Passes inteligentes/90","Passes inteligentes certos, %","Passes chave/90","Passes para terço final/90","Passes certos para terço final, %","Passes para a área de penálti/90","Passes precisos para a área de penálti, %","Passes em profundidade/90","Passes em profundidade certos, %","Receção de passes em profundidade/90","Cruzamentos em profundidade recebidos/90","Passes progressivos/90","Passes progressivos certos, %","Golos sofridos","Golos sofridos/90","Remates sofridos","Remates sofridos/90","Jogos sem sofrer golos","Defesas, %","Golos sofridos esperados","Golos sofridos esperados/90","Golos expectáveis defendidos","Golos expectáveis defendidos por 90´","Passes para trás recebidos pelo guarda-redes/90","Saídas/90","Duelos aérios/90...109","Livres/90","Livres directos/90","Pontapés livres directos à baliza, %","Cantos/90","Penaltis marcados","Conversão de penaltis, %"
"N. Ferraresi","São Paulo","São Paulo","RCB, RB",27,3500000,NA,24,2030,0,0.57,3,1.97,16.94,62.04,"Venezuela","Venezuela, Italy","direito",190,80,"sim",10.91,8.6,68.56,3.24,61.64,0.75,1.03,0.35,4.26,5.82,1.55,3,0.13,0,0,1.02,0,0,0,0.03,0,0,8,0.35,12.5,0,0.13,1.15,34.62,0,0,1.15,34.62,0.13,0.84,68.42,2.7,55.74,0.58,2.08,0.13,34.98,1.33,1.11,47.84,85.82,22.92,79.69,3.81,95.35,14.36,90.43,41.36,91.85,5.36,50.41,19.26,33.62,0.09,0.53,0,0,0.09,0,0.35,8.02,77.9,2,42.22,0.49,27.27,0.71,0.35,10.11,76.75,0,NA,0,NA,0,0,0,0,NA,NA,0.84,NA,NA,0,0,0,0,0,0
"David Ricardo","Botafogo","Botafogo","LCB",22,0,"2028-12-31",22,2025,1,0.91,1,0.09,9.91,61.88,"Brazil","Brazil","esquerdo",188,78,"sim",7.6,4.44,64,2.67,66.67,0.31,0.41,0.67,4.44,5.91,1.02,3,0.13,2,0.09,0.36,0.04,1,0.04,0.04,1,0.04,8,0.36,37.5,12.5,0.04,0.27,0,0.18,0,0.04,0,0.09,0.36,50,1.69,47.37,0.53,0.8,0,34.58,0.62,0.76,48.04,88.81,18.62,79.47,3.73,97.62,20.18,95.59,41.64,94.56,6.13,53.62,20.98,36.26,0,0.04,0.04,0.04,0.04,100,0,4.89,70.91,0.53,25,0.18,25,0.18,0.09,7.87,68.36,0,NA,0,NA,0,0,0,0,NA,NA,2.62,NA,NA,0,0,0,0,0,0
"André Ramalho","Corinthians","Corinthians","RCB",33,2500000,"2026-12-31",21,2000,0,1.09,0,0.16,10.35,63.48,"Brazil","Brazil, Italy","direito",182,78,"sim",7.29,4.1,68.13,3.65,58.02,0.09,0.14,0.68,4.41,6.97,0.86,4,0.18,0,0,0.32,0,0,0,0.05,0,0,11,0.5,9.09,0,0,0.18,50,0,0,0.18,50,0,0.14,100,0.72,50,0.54,0.99,0.05,45.63,0.59,0.45,60.98,92.62,21.2,85.14,3.24,97.22,31.9,97.46,56.39,95.53,4.41,57.14,21.19,39.43,0.01,0.09,0.05,0.09,0.05,100,0,6.53,82.07,0.32,42.86,0.23,80,0.05,0.09,10.4,77.92,0,NA,0,NA,0,0,0,0,NA,NA,1.93,NA,NA,0.05,0.05,0,0,0,0
"W. Kannemann","Grêmio","Grêmio","LCB",34,8e+05,"2027-12-31",20,1944,0,0.76,0,0.04,12.45,60.97,"Argentina","Argentina, Italy","esquerdo",183,75,"sim",8.43,4.81,66.35,3.43,66.22,0.42,0.52,0.93,4.81,6.05,1.11,7,0.32,1,0.05,0.28,0,0,0,0.04,0,0,4,0.19,25,0,0,0.05,0,0.05,0,0,0,0,0.42,55.56,1.39,33.33,0.28,0.23,0.09,20.69,0.14,0.6,31.9,87.37,13.47,77.32,1.2,92.31,14.91,96.27,27.5,92.93,4.35,53.19,21.65,39.31,0,0.09,0,0,0,0,0,2.96,64.06,0.42,11.11,0.19,0,0.05,0,6.11,71.21,0,NA,0,NA,0,0,0,0,NA,NA,0.88,NA,NA,0,0,0,0,0,0
"B. Kuščević","Fortaleza","Fortaleza","RCB, LCB",29,1e+06,NA,20,1904,1,1.59,0,0,11.2,59.92,"Chile","Chile, Croatia","direito",186,81,"sim",7.56,5.53,64.96,4.11,57.47,0.19,0.24,0.61,3.78,4.72,1.09,3,0.14,1,0.05,0.19,0.05,1,0.05,0.07,1,0.05,7,0.33,42.86,14.286,0,0.05,0,0,0,0.05,0,0,0.09,50,0.61,30.77,0.43,0.33,0,23.3,0.43,0.09,34.55,86.59,12.81,74.54,2.74,98.28,15.93,95.55,30.54,92.41,3.97,42.86,20.69,35.1,0,0.05,0,0.05,0.05,0,0,3.97,60.71,0.33,14.29,0.28,0,0.14,0,5.29,65.18,0,NA,0,NA,0,0,0,0,NA,NA,2.08,NA,NA,0,0,0,0,0,0
"Zé Ivaldo","Santos","Santos","RCB, LCB",28,3500000,"2026-12-31",20,1890,1,0.83,0,0.42,11.14,61.11,"Brazil","Brazil","direito",185,78,"sim",7.57,4.9,56.31,3.24,73.53,0.38,0.51,0.76,4.43,5.89,1,7,0.33,1,0.05,0.29,0.05,1,0.05,0.04,0,0,13,0.62,15.38,7.692,0,0.19,0,0,0,0.19,0,0,0.19,100,1.48,51.61,0.52,0.67,0.14,25.71,0.43,0.71,37.9,88.57,15.48,79.08,1.95,97.56,17.57,95.12,32.86,93.33,4.86,59.8,21.89,42.42,0.02,0.05,0,0,0,0,0,4,71.43,0.43,22.22,0.14,0,0.19,0.05,6.62,71.94,0,NA,0,NA,0,0,0,0,NA,NA,1.62,NA,NA,0,0,0,0,0,0
"Murilo","Palmeiras","Palmeiras","LCB, RCB",28,1e+07,"2027-12-31",20,1830,1,0.88,1,0.11,12.59,65.63,"Brazil","Brazil","direito",188,78,"sim",8.36,5.41,69.09,3.98,65.43,0.1,0.14,0.49,4.52,6.57,1.43,6,0.3,0,0,0.49,0.05,1,0.05,0.04,1,0.05,11,0.54,27.27,9.091,0.05,0.49,40,0.2,25,0.3,50,0.1,0.34,42.86,1.03,42.86,0.98,0.49,0,31.03,0.44,0.34,44.75,88.02,17.75,78.95,2.56,94.23,21.49,95.19,39.79,91.84,4.57,58.06,21.73,40.03,0.01,0.05,0.05,0,0.05,0,0.1,5.56,72.57,0.89,38.89,0.3,50,0.44,0.2,8.26,74.4,0,NA,0,NA,0,0,0,0,NA,NA,1.38,NA,NA,0,0,0,0,0,0
"Bruno Fuchs","Palmeiras","Palmeiras","RCB, CB",26,2e+06,"2026-06-30",26,1824,2,1.39,0,0.55,12.68,66.15,"Brazil","Brazil","direito",190,85,"sim",9.03,6.37,72.09,3.06,61.29,0.3,0.46,0.49,4.14,6.41,1.28,4,0.2,0,0,0.35,0.1,2,0.1,0.07,2,0.1,6,0.3,66.67,33.333,0,0.69,14.29,0.05,0,0.64,15.38,0.05,0.3,16.67,1.68,58.82,0.69,1.83,0.05,31.78,0.59,0.84,47.62,86.84,18.7,76.78,2.81,96.49,22.45,93.19,39.47,93.13,7.45,60.26,21.93,33.75,0.03,0.25,0.05,0,0,0,0.1,9.42,72.25,1.83,32.43,0.79,18.75,0.44,0.1,9.08,81.52,0,NA,0,NA,0,0,0,0,NA,NA,1.58,NA,NA,0,0,0,0,0,0
"E. Brítez","Fortaleza","Fortaleza","RCB, RB",33,8e+05,"2027-12-31",18,1774,0,0.66,1,0.63,12.33,58.02,"Argentina","Argentina","direito",178,75,"sim",7.66,4.67,59.78,4.26,54.76,0.3,0.39,0.46,4.57,5.9,0.91,9,0.46,0,0,0.41,0,0,0,0.03,0,0,7,0.36,14.29,0,0.05,0.56,27.27,0.05,100,0.51,20,0,0.15,100,1.88,62.16,0.61,0.61,0.05,21.61,0.61,0.91,32.87,83.18,14.46,74.39,1.47,93.1,13.19,90,27.4,89.63,4.97,53.06,20.86,38.08,0.03,0.3,0,0,0.1,50,0.15,5.23,66.02,1.37,37.04,0.61,33.33,0.41,0.15,7.05,73.38,0,NA,0,NA,0,0,0,0,NA,NA,0.61,NA,NA,0,0,0,0,0,0
"F. Angileri","Corinthians","Corinthians","LB, LCB",31,1e+06,NA,27,1771,0,0.13,0,0.46,13.42,53.41,"Argentina","Argentina, Italy","esquerdo",185,84,"sim",8.94,6.2,63.93,2.64,55.77,0.41,0.6,0.56,4.57,6.72,0.86,4,0.2,0,0,1.52,0,0,0,0.01,0,0,6,0.3,16.67,0,0,2.8,30.91,2.8,30.91,0,0,0.41,1.27,48,2.85,32.14,0.76,1.22,0,34.05,1.37,0.2,45.23,81.91,19.97,78.37,4.73,92.47,14.53,85.66,37.96,89.29,4.73,52.69,19.32,33.17,0.02,0.36,0.05,0,0.05,0,0.15,6.05,77.31,2.03,40,0.3,0,0.3,0.76,10.27,70.3,0,NA,0,NA,0,0,0,0,NA,NA,0.61,NA,NA,0.2,0,0,0.1,0,0
"Vitor Hugo","Atlético Mineiro","Atlético Mineiro","CB, LCB",34,1500000,"2026-12-31",22,1763,3,1.89,0,0.03,11.54,65.93,"Brazil","Brazil","esquerdo",187,80,"sim",6.94,4.65,70.33,4.95,68.04,0.41,0.6,0.66,3.27,4.78,0.87,3,0.15,1,0.05,0.36,0.15,3,0.15,0.1,2,0.1,13,0.66,46.15,23.077,0,0,0,0,0,0,0,0,0.05,100,0.51,50,0.66,0.51,0,33.13,0.56,0.26,43.75,91.37,16.03,81.53,3.27,93.75,18.89,98.65,41.35,93.83,2.4,48.94,16.06,32.22,0,0.05,0,0.05,0,0,0,4.65,82.42,0.1,0,0.15,66.67,0.1,0,6.28,73.17,0,NA,0,NA,0,0,0,0,NA,NA,2.4,NA,NA,0,0,0,0,0,0
"J. Juninho","Internacional","Internacional","LCB",30,1e+06,"2026-06-30",19,1695,0,1.43,0,0,10.88,60.98,"Brazil","Brazil","esquerdo",187,80,"sim",7.81,4.73,68.54,3.93,58.11,0.21,0.28,0.8,4.35,5.8,0.74,5,0.27,0,0,0.37,0,0,0,0.08,0,0,11,0.58,36.36,0,0,0.05,0,0.05,0,0,0,0,0.16,100,0.9,52.94,0.58,0.64,0,32.44,0.48,0.58,46.62,89.18,20.39,80.47,2.34,90.91,19.27,98.07,41.52,92.84,5.04,60,20.72,36.05,0,0,0,0,0,0,0,6,81.42,0.37,28.57,0.16,33.33,0.11,0,8.65,73.01,0,NA,0,NA,0,0,0,0,NA,NA,1.33,NA,NA,0,0,0,0,0,0
"Lucas Freitas","Vasco da Gama","Vasco da Gama","LCB",24,450000,"2027-12-31",20,1615,1,0.52,0,0.04,10.03,56.67,"Brazil","Brazil, Portugal","esquerdo",184,76,"sim",7.3,3.9,70,2.62,42.55,0.11,0.16,1,4.46,6.3,1,4,0.22,0,0,0.28,0.06,1,0.06,0.03,0,0,4,0.22,25,25,0,0.33,16.67,0.28,0,0.06,100,0,0.33,50,1.78,46.88,0.33,1.11,0,48.04,0.45,0.67,62.8,92.37,24.3,87.16,4.29,92.21,25.91,96.13,57.4,95.63,5.18,59.14,18.97,32.55,0,0.11,0,0,0,0,0,5.96,81.31,0.5,33.33,0.06,0,0.11,0.06,8.3,74.5,0,NA,0,NA,0,0,0,0,NA,NA,2.51,NA,NA,0,0,0,0,0,0
"Lyanco","Atlético Mineiro","Atlético Mineiro","RCB, CB",28,3e+06,"2028-12-31",17,1606,0,0.78,0,0.15,14.91,60.53,"Brazil","Brazil, Serbia","direito",187,83,"sim",9.36,5.94,66.04,3.53,58.73,0.62,0.96,0.56,4.82,7.52,1.51,8,0.45,2,0.11,0.73,0,0,0,0.04,0,0,11,0.62,27.27,0,0,0.11,0,0.06,0,0.06,0,0,0.84,66.67,2.91,59.62,0.39,0.95,0.17,32.78,0.39,1.18,46.12,89.06,16.81,75.67,4.99,98.88,20.17,97.5,40.57,94.61,5.44,49.48,21.65,39.04,0.01,0.11,0,0,0,0,0.11,7.34,70.23,1.01,27.78,0.45,25,0.34,0,6.84,72.95,0,NA,0,NA,0,0,0,0,NA,NA,3.81,NA,NA,0,0,0,0,0,0
"Cacá","Corinthians","Corinthians","LCB",26,2e+06,"2028-12-31",18,1599,2,1.24,0,0,13,63.2,"Brazil","Brazil","direito",187,77,"sim",6.64,5.07,70,4.45,62.03,0.34,0.55,0.45,2.76,4.48,1.07,3,0.17,0,0,0.39,0.11,2,0.11,0.07,2,0.11,7,0.39,57.14,28.571,0,0.06,0,0,0,0.06,0,0,0.28,60,2.25,60,0.45,1.63,0.06,43.11,0.68,0.96,55.33,94.4,13.79,86.12,2.98,98.11,33.32,97.97,53.19,96.3,2.08,48.65,19.6,33.55,0,0,0,0,0,0,0,2.98,84.91,0.06,100,0,0,0.06,0,4.22,68,0,NA,0,NA,0,0,0,0,NA,NA,1.69,NA,NA,0,0,0,0,0,0
"João Victor","CSKA Moskva","Vasco da Gama","RCB",27,5e+06,"2029-06-30",16,1594,1,1.53,0,0.2,11.86,65.24,"Brazil","Brazil","direito",187,80,"sim",8.98,5.08,72.22,3.73,66.67,0.06,0.08,0.62,5.25,7.38,0.62,3,0.17,0,0,0.4,0.06,1,0.06,0.09,1,0.06,10,0.56,40,10,0,0.23,25,0,0,0.23,25,0,0.45,25,1.24,40.91,0.73,0.73,0.11,40.99,0.73,0.62,53.92,90.68,20.89,81.08,4.8,97.65,22.25,98.48,50.03,94.7,3.67,40,20.33,35.43,0.01,0.06,0,0,0,0,0.06,6.44,78.07,0.28,40,0.23,25,0.17,0.06,8.07,73.43,0,NA,0,NA,0,0,0,0,NA,NA,2.88,NA,NA,0,0,0,0,0,0
"W. Ángel","Juventude","Juventude","LCB, RCB",32,250000,"2025-12-31",18,1586,1,0.99,0,0,9.53,61.31,"Venezuela","Venezuela","direito",188,84,"sim",8.34,3.86,60.29,4.6,67.9,0.28,0.34,1.7,5.73,6.95,1.53,5,0.28,0,0,0.4,0.06,1,0.06,0.06,1,0.06,10,0.57,60,10,0,0,0,0,0,0,0,0,0.11,50,0.23,25,0.62,0.28,0,21.22,0.34,0.23,32.74,88.21,13.96,78.86,1.99,100,14.53,94.92,29.11,93.76,3.63,43.75,21.12,36.23,0,0,0,0.06,0,0,0,2.55,57.78,0.28,20,0,0,0.06,0,4.77,61.9,0,NA,0,NA,0,0,0,0,NA,NA,1.65,NA,NA,0,0,0,0,0,0
"Danilo","Flamengo","Flamengo","RCB",34,1e+07,"2026-12-31",20,1548,1,1.51,1,0.61,7.97,53.28,"Brazil","Brazil","direito",184,78,"sim",5.06,2.85,53.06,2.97,50.98,0.17,0.31,0.35,3.37,5.96,0.93,2,0.12,1,0.06,0.76,0.06,1,0.06,0.09,1,0.06,7,0.41,42.86,14.286,0.06,0.76,61.54,0,0,0.76,61.54,0,0.06,100,0.52,55.56,0.58,2.67,0,62.5,0.87,0.41,79.65,93.8,28.02,87.97,4.48,93.51,38.6,97.74,72.38,96.95,6.57,62.83,20.44,37.15,0.04,0.41,0.12,0.06,0.06,100,0.17,12.73,84.93,1.86,68.75,1.1,52.63,0.81,0.47,14.01,86.31,0,NA,0,NA,0,0,0,0,NA,NA,2.56,NA,NA,0,0,0,0,0,0
"Rodrigo Sam","Juventude","Juventude","CB, LCB, RCB",30,50000,"2026-12-31",17,1536,1,1.09,0,0.03,13.95,57.98,"Brazil","Brazil","direito",187,86,"sim",8.79,5.33,56.04,4.22,62.5,0.35,0.49,0.59,5.45,7.66,1.88,8,0.47,0,0,0.47,0.06,1,0.06,0.06,1,0.06,8,0.47,37.5,12.5,0,0,0,0,0,0,0,0,0.35,83.33,2.81,58.33,0.59,0.35,0,22.03,0.12,1.29,35.51,90.43,11.72,79.5,3.46,98.31,16.93,96.19,33.75,92.71,1.76,46.67,19.87,29.38,0,0.06,0,0,0,0,0,2.52,58.14,0.18,66.67,0.06,100,0.12,0,3.93,62.69,0,NA,0,NA,0,0,0,0,NA,NA,1.76,NA,NA,0,0,0,0,0,0
"Marcos Paulo","Juventude","Juventude","LCB",22,0,"2025-12-31",19,1524,0,0.52,0,0,12.46,54.5,"Brazil","Brazil","esquerdo",0,0,"sim",8.03,5.43,53.26,3.54,71.67,0.47,0.62,0.89,4.67,6.12,1.59,7,0.41,1,0.06,0.41,0,0,0,0.03,0,0,6,0.35,66.67,0,0,0.12,50,0.06,0,0.06,100,0,0.35,33.33,1.65,28.57,0.65,1.06,0.18,27.28,0.59,0.18,40.93,84.42,19.13,75.93,3.72,88.89,14.11,94.56,35.55,89.7,5.26,49.44,21.32,37.48,0,0.06,0,0.12,0,0,0,4.84,74.39,0.53,33.33,0.59,50,0.24,0.06,8.5,67.36,0,NA,0,NA,0,0,0,0,NA,NA,2.48,NA,NA,0,0,0,0,0,0
"S. Arias","Bahia","Bahia","RB, RCB",33,2500000,"2025-12-31",20,1499,0,0.29,0,0.5,10.57,55.11,"Colombia","Colombia","direito",177,70,"sim",6.78,5.34,61.8,1.86,38.71,0.24,0.38,0.24,3.24,5.08,0.6,3,0.18,0,0,1.32,0,0,0,0.02,0,0,8,0.48,37.5,0,0,1.98,42.42,0,0,1.98,42.42,0.3,0.42,71.43,1.8,53.33,0.6,1.8,0.24,41.19,1.68,1.02,52.6,87.21,23.42,84.62,6.24,93.27,14.77,90.65,48.27,91.29,2.46,43.9,17.06,24.71,0.03,0.36,0.06,0,0,0,0.3,6.84,90.35,1.86,51.61,0.12,0,0.3,0.72,10.63,77.4,0,NA,0,NA,0,0,0,0,NA,NA,0.9,NA,NA,0,0,0,0,0,0
"Abner","Juventude","Juventude","RCB",21,0,"2027-12-31",19,1470,0,0.41,1,0.17,10.65,62.07,"Brazil","Brazil","direito",189,75,"sim",8.57,5.14,54.76,3.43,75,0.61,0.71,0.67,5.14,6,1.04,3,0.18,0,0,0.18,0,0,0,0.02,0,0,2,0.12,50,0,0.06,0,0,0,0,0,0,0,0.18,66.67,0.73,41.67,0.49,0.18,0,22.16,0.24,0.31,34.65,86.57,14.69,75,2.14,91.43,15.12,96.36,29.39,93.13,5.27,50,22.57,40.71,0.01,0.18,0,0,0,0,0.06,4.04,54.55,0.31,20,0.37,33.33,0.06,0,5.51,65.56,0,NA,0,NA,0,0,0,0,NA,NA,1.59,NA,NA,0,0,0,0,0,0
"Micael","Palmeiras","Palmeiras","LCB",25,850000,"2029-12-31",16,1442,0,0.42,1,0.23,14.73,60.59,"Brazil","Brazil","esquerdo",183,82,"sim",8.74,7.24,69.83,4.56,54.79,0.06,0.09,0.5,3.62,5.42,1.69,4,0.25,0,0,0.31,0,0,0,0.03,0,0,3,0.19,33.33,0,0.06,0.12,50,0.12,50,0,0,0,0.19,100,0.81,53.85,0.69,1.12,0,31.46,0.25,0.19,44.38,90.72,15.54,79.92,2.87,95.65,21.78,97.13,39.76,95.45,4.49,50,19.86,37.34,0.01,0.25,0,0,0,0,0.19,5.68,73.63,0.37,33.33,0.19,33.33,0.19,0.06,5.87,71.28,0,NA,0,NA,0,0,0,0,NA,NA,1.87,NA,NA,0,0,0,0,0,0
"Gustavo Martins","Grêmio","Grêmio","RB, RCB",23,3e+06,"2027-12-31",18,1418,1,2.17,0,0.11,14.34,57.96,"Brazil","Brazil","direito",191,77,"sim",8.57,5.84,61.96,5.33,63.1,0.19,0.23,0.44,4.76,5.64,1.33,4,0.25,0,0,0.89,0.06,1,0.06,0.14,1,0.06,15,0.95,53.33,6.667,0,0.06,100,0,0,0.06,100,0,0.63,50,2.09,39.39,1.33,0.32,0.19,23.55,0.38,0.13,33.64,87.92,14.28,82.22,2.41,89.47,12.31,93.3,30.78,90.31,2.79,61.36,17.96,31.1,0.01,0.13,0,0,0,0,0.13,2.92,76.09,0.06,100,0,0,0.13,0.06,5.71,63.33,0,NA,0,NA,0,0,0,0,NA,NA,0.44,NA,NA,0,0,0,0,0,0
"Luan Cândido","Sport Recife","Sport Recife","LB, LCB",24,7e+06,"2026-12-31",15,1415,1,1.11,0,0.33,11.32,53.37,"Brazil","Brazil","esquerdo",184,76,"sim",8.33,4.9,53.25,2.99,78.72,0.13,0.16,0.64,5.6,7.1,1.27,2,0.13,0,0,0.89,0.06,1,0.06,0.07,0,0,10,0.64,50,10,0,0.76,41.67,0.76,41.67,0,0,0.13,0.32,80,2.29,27.78,1.08,1.08,0,21.88,1.46,0.38,30.59,82.54,13.1,73.3,4.33,94.12,8.46,90.98,27.35,88.84,2.54,27.5,18.73,29.68,0.02,0.45,0.06,0,0.06,0,0.06,4.13,69.23,0.64,60,0.38,16.67,0.06,0.19,5.28,60.24,0,NA,0,NA,0,0,0,0,NA,NA,0.19,NA,NA,0.06,0.06,0,0,0,0
"Robert Renan","Vasco da Gama","Vasco da Gama","LCB",22,0,"2028-06-30",15,1408,0,0.47,0,0.03,11.19,58.29,"Brazil","Brazil","esquerdo",186,78,"sim",7.8,4.41,65.22,3.39,69.81,0.26,0.36,0.96,4.67,6.58,1.02,2,0.13,0,0,0.51,0,0,0,0.03,0,0,6,0.38,16.67,0,0,0.89,28.57,0.83,30.77,0.06,0,0.06,0.32,40,1.53,41.67,0.26,1.28,0,44.55,0.26,0.38,57.85,88.4,25.44,81.41,4.03,95.24,19.75,93.53,49.67,94.21,7.29,56.14,19.91,41.69,0,0.06,0,0.13,0.13,50,0.06,8.18,71.09,1.66,30.77,0.64,20,0.06,0.26,10.16,75.47,0,NA,0,NA,0,0,0,0,NA,NA,1.98,NA,NA,0,0,0,0.06,0,0
"Marcos Victor","Ceará","Ceará","RCB",23,0,"2027-12-31",14,1393,0,1.05,1,0.24,8.79,52.21,"Brazil","Brazil","direito",184,71,"sim",7.43,3.04,70.21,2.78,44.19,0.13,0.15,0.39,5.17,6.15,0.39,0,0,0,0,0.52,0,0,0,0.07,0,0,4,0.26,0,0,0.06,0.19,100,0,0,0.19,100,0.06,0.39,83.33,2.07,34.38,0.52,1.29,0,18.8,0.84,0.39,28.94,88.62,12.02,80.65,1.68,92.31,12.08,96.79,24.55,93.16,4.2,61.54,20.35,34.22,0.02,0.19,0,0,0,0,0.06,3.23,70,0.71,54.55,0.19,33.33,0.26,0.19,4.59,73.24,0,NA,0,NA,0,0,0,0,NA,NA,0.84,NA,NA,0,0,0,0,0,0
"E. Noriega","Grêmio","Grêmio","RCB, CB, RDMF",24,4e+05,"2028-12-31",14,1344,0,0.69,0,0.19,8.71,55.38,"Peru","Peru","direito",185,78,"sim",7.37,2.95,56.82,2.41,55.56,0.33,0.42,1.07,5.36,6.78,1.07,3,0.2,0,0,0.33,0,0,0,0.05,0,0,6,0.4,0,0,0,0.27,50,0,0,0.27,50,0,0.27,75,1.54,56.52,0.47,0.33,0,25.71,0.33,0.67,37.83,90.27,14.33,81.31,2.41,100,17.68,95.45,32.41,95.45,5.16,59.74,22.19,40,0.01,0.4,0,0,0,0,0,4.69,72.86,0.47,57.14,0.2,33.33,0.2,0.13,6.43,77.08,0,NA,0,NA,0,0,0,0,NA,NA,1.47,NA,NA,0,0,0,0,0,0
"Camutanga","Vitória","Vitória","CB, RCB",32,5e+05,"2025-12-31",14,1323,0,0.37,0,0,10.61,55.77,"Brazil","Brazil","direito",189,80,"sim",8.3,4.69,62.32,4.15,52.46,0.41,0.5,0.34,4.97,6.12,1.43,6,0.41,0,0,0.14,0,0,0,0.03,0,0,5,0.34,40,0,0,0,0,0,0,0,0,0,0.07,0,0.75,36.36,0.34,0.14,0,14.56,0.14,0.41,25.1,84.55,9.25,72.06,1.22,100,12.04,93.79,22.52,89.73,2.59,39.47,20.13,34.73,0,0,0,0,0,0,0,2.52,56.76,0.41,33.33,0.14,0,0.07,0,4.83,57.75,0,NA,0,NA,0,0,0,0,NA,NA,1.09,NA,NA,0.2,0.2,33.33,0,0,0
"Ignácio","Fluminense","Fluminense","RCB",29,1500000,"2028-06-30",19,1297,0,0.44,0,0.11,14.78,62.44,"Brazil","Brazil","direito",190,92,"sim",7.98,6.11,65.91,4.09,64.41,0,0,0.69,3.96,5.15,1.73,2,0.14,1,0.07,0.49,0,0,0,0.03,0,0,5,0.35,60,0,0,0,0,0,0,0,0,0,0.28,100,2.29,48.48,0.69,0.35,0,34.63,0.35,1.25,46.01,89.14,15.34,75.57,3.05,97.73,22.27,97.51,42.54,93.15,3.47,40,17.55,29.42,0.01,0.07,0,0,0,0,0.07,2.91,61.9,0.35,0,0.14,0,0.14,0,5.27,57.89,0,NA,0,NA,0,0,0,0,NA,NA,1.87,NA,NA,0,0,0,0,0,0
"Ruan Tressoldi","Atlético Mineiro","Atlético Mineiro","RCB, CB",26,2500000,"2026-06-30",15,1292,1,0.41,0,0.03,12.19,54.86,"Brazil","Brazil","direito",187,78,"sim",6.48,4.04,56.9,5.02,58.33,0.07,0.1,0.84,4.11,5.84,1.18,5,0.35,0,0,0.21,0.07,1,0.07,0.03,1,0.07,3,0.21,66.67,33.333,0,0,0,0,0,0,0,0,0.49,14.29,1.6,39.13,0.42,0.28,0,20.69,0.21,0.63,31.14,89.71,11.98,84.3,2.93,92.86,12.75,96.72,28.77,91.77,2.37,64.71,19.13,29.86,0,0.14,0,0,0,0,0,3.07,84.09,0,0,0.07,100,0,0,5.02,62.5,0,NA,0,NA,0,0,0,0,NA,NA,2.37,NA,NA,0,0,0,0,0,0
"Tchoca","Corinthians","Corinthians","RCB",21,0,"2026-12-31",15,1290,0,1.16,1,0.34,9.7,58.27,"Brazil","Brazil","direito",192,81,"sim",7.53,4.95,63.38,3.07,54.55,0,0,0.84,4.4,6.59,1.12,4,0.28,0,0,0.28,0,0,0,0.08,0,0,6,0.42,33.33,0,0.07,0.14,50,0,0,0.14,50,0.07,0.07,100,0.7,50,0.7,1.05,0.07,29.16,0.35,0.28,42.28,89.44,17.37,80.72,4.12,94.92,16.6,97.48,38.02,93.39,4.12,54.24,20.55,28.95,0.02,0.28,0,0,0,0,0.21,3.98,78.95,0.42,33.33,0,0,0.28,0.14,7.19,73.79,0,NA,0,NA,0,0,0,0,NA,NA,3,NA,NA,0,0,0,0,0,0
